ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,Description
Brest1513,France,48.390394,-4.486076,164,Brest,1513,"['French', 'French']",['y War of the Holy League'],England,France,,,,Sea,,No,,,,"Numerous actions have been termed the Battle of Brest, Brest being the name of two important fortress towns in France and Belarus, respectively, and a small town in Croatia."
Brest1944,France,48.390394,-4.486076,164,Brest,1944,"['American', 'Brittany']",['World War II'],United States,Germany,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p475",,,"Numerous actions have been termed the Battle of Brest, Brest being the name of two important fortress towns in France and Belarus, respectively, and a small town in Croatia."
Brest-Litovsk1794,Belarus,52.0976214,23.7340503,164,Brest-Litovsk,1794,"['Russian', 'Poles', 'Warsaw']",2nd War of Polish Partition,Russia,Polish Nationalists,,,,Land,,No,,,,"The Battle of Brześć Litewski (also known as the Siege of Brześć, Battle of Brest-Litovsk or simply Battle of Brześć) was a World War II battle involving German and Polish forces that took place between 14 and 17 September 1939, near the town of Brześć Litewski (now Brest, Belarus). After three days of heavy fights for the stronghold in the town of Brześć, the Germans captured the fortress and the Poles withdrew."
Brest-Litovsk1915,Belarus,52.0976214,23.7340503,164,Brest-Litovsk,1915,"['Germanys', 'Austro-German', 'Brest-Litovsk', 'Warsaw', 'Russians']",['World War'],Germany,Russia,,,,Land,,No,,,,"The Battle of Brześć Litewski (also known as the Siege of Brześć, Battle of Brest-Litovsk or simply Battle of Brześć) was a World War II battle involving German and Polish forces that took place between 14 and 17 September 1939, near the town of Brześć Litewski (now Brest, Belarus). After three days of heavy fights for the stronghold in the town of Brześć, the Germans captured the fortress and the Poles withdrew."
Briar Creek1779,United States,32.7829428,-81.4413606,164,Briar Creek,1779,"['Britain', 'Georgia', 'British', 'Augusta', 'Briar Creek', 'British', 'American']",['y War of the American    Revolution       Campaigning'],United Kingdom,United States,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p464",,,"The Battle of Brier Creek was an American Revolutionary War battle fought on March 3, 1779, near the confluence of Brier Creek with the Savannah River in eastern Georgia. An American Patriot force consisting principally of militia from North Carolina and Georgia along with some Continental Army troops were defeated by British forces, suffering significant casualties. The rout damaged Patriot morale."
Brice's Cross Roads1864,United States,34.5061819,-88.7310627,164,Brice's Cross Roads,1864,"['American', 'Fort Pillow', 'Tennessee', 'Mississippi', 'Memphis']",American Civil War,Confederate States of America,United States,,,2.0,Land,,No,https://www.battlefields.org/learn/civil-war/battles/brices-cross-roads,,,"The Battle of Brice's Cross Roads, also known as the Battle of Tishomingo Creek or the Battle of Guntown, was fought on Friday, June 10, 1864, near Baldwyn, Mississippi, then part of the Confederate States of America. A Federal expedition from Memphis, Tennessee, of 4,800 infantry and 3,300 cavalry, under the command of Brigadier-General Samuel D. Sturgis, was defeated by a Confederate force of 3,500 cavalry under the command of Major-General Nathan B. Forrest. The battle was a victory for the Confederates. Forrest inflicted heavy casualties on the Federal force and captured more than 1,600 prisoners of war, 18 artillery pieces, and wagons loaded with supplies. Once Sturgis reached Memphis, he asked to be relieved of his command."
Bridge634,Iraq,32.0397912,44.346561,165,Bridge,634,"['Muslim', 'Iraq', 'Persian', 'Mesopotamia', 'Hira', 'Muslim', 'Nimaraq', 'Persian', 'Arabs']",Muslim Conquest of Iraq,Sassanians,Muslims,,,,Land,,No,,,,"The Battle of the Bridge or the Battle of al-Jisr (Arabic: معركة الجسر; Persian: نبرد پل) was fought at the bank of the Euphrates river between Arab Muslims led by Abu Ubaid al-Thaqafi, and the Persian Sasanian forces led by Bahman Jaduya. It is traditionally dated to the year 634, and was the only major Sasanian victory over the Rashidun Caliphate army."
"Bridgewater, Florida1840",United States,28.2618276,-82.3071353,165,"Bridgewater, Florida",1840,"['Florida', 'Gainesville', 'Florida']",['Seminole Indian War'],Seminole Indians,United States,,,1.0,Land,,No,,1,1.0,No description available
Bridgnorth1102,United Kingdom,52.534455,-2.424549,165,Bridgnorth,1102,"['England', 'Normans', 'Arundel', 'Wolverhampton']",Norman Dynastic Wars,England,Earl of Salisbury,,,,Land,,No,,,,No description available
"Bridgwater, England1645",United Kingdom,51.127889,-3.003632,165,"Bridgwater, England",1645,"['England', 'British', 'Devon']",British Civil War,Parliamentarians,Royalists,,,,Land,,No,,,,No description available
Brielle1572,Netherlands,51.902582,4.1636846,165,Brielle,1572,"['Dutch', 'Spanish', 'Blois Seigneur', 'Treslong', 'Brielle', 'Brielle', 'Spanish', 'Netherlands']",['y Netherlands War of    Independence       '],Netherlands,Spain,,,,Land,,No,,,,No description available
Brienne1814,France,48.393104,4.526154,165,Brienne,1814,"['French', 'Paris', 'Prussian', 'Austrian', 'La    Rothiere']",Napoleonic Wars (French Campaign),France,"Prussia, Austria",,,3.0,Land,,No,"The Field and the Forge, Landers, p392",,,"The Battle of Brienne (29 January 1814) saw an Imperial French army led by Emperor Napoleon attack Prussian and Russian forces commanded by Prussian Field Marshal Gebhard Leberecht von Blücher. After heavy fighting that went on into the night, the French seized a château, nearly capturing Blücher. However, the French were unable to dislodge the Russians from the town of Brienne-le-Château. Napoleon himself, making his first appearance on a battlefield in 1814, was also nearly captured. Very early the next morning, Blücher's troops quietly abandoned the town and retreated to the south, conceding the field to the French."
Brignais1362,France,45.674944,4.7525639,165,Brignais,1362,"['German', 'Spanish', 'France', 'French', 'Brignais']",Hundred Years War,,"English, French, German, Spanish 'Routiers'",France,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p278",,,"The Battle of Brignais was fought on the 6th of April 1362, between forces of the Kingdom of France under Count Jacques de Bourbon, from whom the later royal Bourbons descend, and the Tard-Venus Free Companies, led by mercenary captains including Petit Meschin and Seguin de Badefol."
Brihuega1710,Spain,40.7619928,-2.8695567,165,Brihuega,1710,"['Madrid', 'Anglo']",War of the Spanish Succession,France,"United Kingdom, Austria",,,2.0,Land,,No,"The Field and the Forge, Landers, p388",,,"The Battle of Brihuega took place on 8 December 1710 in the War of the Spanish Succession, during the Allied retreat from Madrid to Barcelona. A British Army rearguard led by James Stanhope, 1st Earl Stanhope was cut off and trapped within the town of Brihuega before being overwhelmed by a Franco-Spanish army under the command of Louis Joseph, Duke of Vendôme. The battle, along with other events, brought an end to British participation in the war."
Brindisi1156,Italy,40.6327278,17.9417616,166,Brindisi,1156,"['Italy', 'Sicily', 'Apulia']",Byzantine-Sicillian Wars,Sicily,Byzantium,,,,Land,,No,,,,No description available
Bristoe Station1863,United States,38.7253629,-77.5440787,166,Bristoe Station,1863,"['American', 'Virginia', 'Gettysburg']",American Civil War,United States,Confederate States of America,,,2.0,Land,,No,https://www.battlefields.org/learn/civil-war/battles/bristoe-station,,,"The Battle of Bristoe Station was fought on October 14, 1863, at Bristoe Station, Virginia, between Union forces under Maj. Gen. Gouverneur K. Warren and Confederate forces under Lt. Gen. A. P. Hill during the Bristoe Campaign of the American Civil War. The Union II Corps under Warren was able to surprise and repel the Confederate attack by Hill on the Union rearguard, resulting in a Union victory."
Bristol1643,United Kingdom,51.454513,-2.58791,166,Bristol,1643,"['British', 'Cornish']",British Civil War,Royalists,Parliamentarians,,,1.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p50",,,No description available
Bristol1645,United Kingdom,51.454513,-2.58791,166,Bristol,1645,"['British', 'England', 'Fairfax']",British Civil War,Parliamentarians,Royalists,,,,Land,,No,,,,No description available
Britain1940,United Kingdom,51.7962272,0.0779968,166,Britain,1940,"['Britain', 'France', 'Britain', 'British', 'German']",['World War II'],"United Kingdom, Australia, Canada, New Zealand, South Africa, Poland, France, Czechoslovakia",Germany,,,2.0,Air,,No,"The Second World War, Liddel Hart, p97. Luftwaffe had 875 four man crew bombers, 316 two man crew bombers and 929 single pilot fighters",1,,"The Battle of Britain (‹See Tfd›German: Luftschlacht um England, ""air battle for England"") was a military campaign of the Second World War, in which the Royal Air Force (RAF) and the Fleet Air Arm (FAA) of the Royal Navy defended the United Kingdom (UK) against large-scale attacks by Nazi Germany's air force, the Luftwaffe. It was the first major military campaign fought entirely by air forces. The British officially recognise the battle's duration as being from 10 July until 31 October 1940, which overlaps the period of large-scale night attacks known as the Blitz, that lasted from 7 September 1940 to 11 May 1941. German historians do not follow this subdivision and regard the battle as a single campaign lasting from July 1940 to May 1941, including the Blitz."
Brody1916,Ukraine,50.0788069,25.1478942,166,Brody,1916,"['Russian', 'Lemberg (Lvov', 'Russian']",['World War I'],Germany,Russia,,,,Land,,No,,,,"The Battle of Brody (other names in use include Battle of Dubna, Battle of Dubno, Battle of Rovne, Battle of Rovne-Brody) was a tank battle fought between the 1st Panzer Group's III Army Corps and XLVIII Army Corps (Motorized) and five mechanized corps of the Soviet 5th Army and 6th Army in the triangle formed by the towns of Dubno, Lutsk and Brody between 23 and 30 June 1941. It was one of the most intense armored engagements in the opening phase of Operation Barbarossa, and some say that it may surpass the more famous Battle of Prokhorovka. It is by far the battle with the largest number of tanks participating (incorrectly, the Battle of Prokhorovka, part of the Battle of Kursk, is seen as the biggest tank battle). It is known in Soviet historiography as one of the ""border defensive battles"". Although the Red Army formations inflicted heavy losses on the German forces, they were outmanoeuvred and suffered enormous losses in tanks. Poor Soviet logistics, German air supremacy and a total breakdown in Red Army command and control ensured victory for the Wehrmacht despite overwhelming Red Army numerical and technological superiority."
Brody-Dubno1941,Ukraine,50.4009139,25.7590674,167,Brody-Dubno,1941,"['Ukraine', 'German', 'Russian', 'Kiev']",['World War II'],Germany,USSR,,,,Land,,No,,,,No description available
Bronkhorstspruit1880,South Africa,-25.8084388,28.7081382,167,Bronkhorstspruit,1880,"['Britain', 'Pretoria', 'Bronkhorstspruit']",1st Anglo-Boer War,Transvaal,United Kingdom,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p714-715",,1.0,"The battle of Bronkhorstspruit was the first major engagement of the First Boer War. It took place by the Bronkhorstspruit river, near the town of Bronkhorstspruit, Transvaal, on 20 December 1880. Threatened by the growing numbers of militant Boers in the Pretoria region, the British recalled the 94th Regiment of Foot, which had several companies garrisoned in towns and villages across the wider area. The regiment's commanding officer, Lieutenant Colonel Philip Robert Anstruther, led a 34-wagon column consisting of roughly 250 men on a 188-mile (303 km) journey from Lydenburg back to Pretoria. A similar-sized Boer commando force, led by Francois Gerhardus Joubert, was ordered to intercept and stop the British."
Bronnitsa1614,Russia,58.4532833,31.6437314,167,Bronnitsa,1614,"['Russo', 'Swedes', 'Russians', 'Swedes', 'Russia', 'Pskov']",Russo-Swedish Wars,Russia,Sweden,,,,Land,,No,,,,No description available
Bron yr Erw1075,United Kingdom,52.6076345,-4.4292068,167,Bron yr Erw,1075,['Ireland'],Welsh Dynastic Wars,Trahaiaran ap Caradog,Gruffud of Gwynned,,,,Land,,No,,,,"The Battle of Bron yr Erw was fought at Clynnog Fawr, Wales, in 1075."
Broodseinde1917,Belgium,50.87762,3.00221,167,Broodseinde,1917,"['German', 'British', 'Passchendaele']",['World War'],United Kingdom,Germany,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p400",1,,"The Battle of Broodseinde was fought on 4 October 1917 near Ypres in Belgium, at the east end of the Gheluvelt plateau, by the British Second and Fifth armies against the German 4th Army. The battle was the most successful Allied attack of the Third Battle of Ypres. Using bite-and-hold tactics, with objectives limited to what could be held against German counter-attacks, the British devastated the German defence, prompted a crisis among the German commanders and caused a severe loss of morale in the 4th Army. Preparations were made by the Germans for local withdrawals and planning began for a greater withdrawal, which would entail the abandonment by the Germans of the Belgian coast, one of the strategic aims of the Flanders Offensive."
Broomhouse1513,United Kingdom,55.4275508,-1.7018265,167,Broomhouse,1513,"['Anglo', 'Scotland', 'English', 'Alnwick', 'Scottish']",Anglo-Scottish Border Wars,England,Scotland,,,,Land,,No,,,,No description available
Brownstown1812,United States,42.1261157,-83.2572332,167,Brownstown,1812,"['Detroit', 'Ohio', 'American', 'British', 'Indians', 'Americans', 'Magagua']",War of 1812,United Kingdom,United States,,,1.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p242",,1.0,"The Battle of Brownstown was an early skirmish in the War of 1812. Although the United States military outnumbered the forces of Tecumseh's Confederacy 8 to 1, they lost the battle and suffered substantial losses while Tecumseh's forces were almost untouched."
Bruderholz1499,Switzerland,47.5299527,7.5767539,168,Bruderholz,1499,"['Swiss', 'Habsburg', 'Alsace', 'Bruderholz', 'Basle', 'Germans', 'Swiss']",['Swabian War                       '],Switzerland,Swabian Confederation,,,1.0,Land,,No,,1,,"The Battle of Bruderholz took place on 22 March 1499 in the Swabian War between Swabian troops and forces of the Old Swiss Confederacy. The Swabians had raided several Swiss villages and were on their way back when they met troops from Lucerne, Solothurn, and Bern, who also came back from a raid in the Alsace. Anticipating the likely route of the Swabian troops, the Swiss soldiers concealed themselves in the woods at Bruderholz hill, near Basel. When the three times more numerous Swabians passed the woods, the Swiss attacked. The Swabian infantry quickly broke and fled the battlefield. The cavalry fought a delaying action allowing the infantry to escape before retreating also. Some of the fleeing soldiers ran approximately 2 miles (3.2 km) to the Rhine river before swimming across to continue their retreat. Others fled to Basel but were refused entry. The Confederation lost only a single soldier while the Swabians lost about 80 men. The leader of the Confederacy's troops was from the House of Bubenberg."
Bruges1302,Belgium,51.209348,3.2246995,168,Bruges,1302,"['Flemish', 'France', 'French', 'Flemish']",Franco-Flemish Wars,Flemish Rebels,France,,,,Land,,Yes,,,,No description available
Bruges1382,Belgium,51.209348,3.2246995,168,Bruges,1382,"['Royalist', 'Flemish', 'Bruges']",Hundred Years War,Flemish Rebels,County of Flanders,,,,Land,,No,,,,No description available
Brunanburh937,United Kingdom,53.3314189,-2.9955267,168,Brunanburh,937,"['Britain', 'Dublin']",Viking Wars in Britain,Wessex,"Dublin Vikings, Scotland, Strathclyde",,,,Land,,No,https://www.historic-uk.com/HistoryUK/HistoryofBritain/Battle-of-Brunanburh/,,,"The Battle of Brunanburh was fought in 937 between Æthelstan, King of England, and an alliance of Olaf Guthfrithson, King of Dublin; Constantine II, King of Scotland; and Owain, King of Strathclyde. The battle is sometimes cited as the point of origin for English national identity: historians such as Michael Livingston argue that ""the men who fought and died on that field forged a political map of the future that remains, arguably making the Battle of Brunanburh one of the most significant battles in the long history not just of England, but of the whole of the British Isles."""
Brunei1962,Brunei,4.535277,114.727669,168,Brunei,1962,"['Indonesian', 'Sheik']",Brunei Rebellion,"United Kingdom, Brunei",Brunei Rebels,,,,Land,,No,,,,"The Battle of North Borneo took place during the Second World War between Allied and Japanese forces. Part of the wider Borneo campaign of the Pacific War, it was fought between 10 June and 15 August 1945 in North Borneo (later known as Sabah). The battle involved a series of amphibious landings by Australian forces on various points on the mainland around Brunei Bay and upon islands situated around the bay. Japanese opposition to the landings was sporadic initially, although as the campaign progressed a number of considerable clashes occurred and both sides suffered significant casualties, although major combat was largely restricted to Labuan and around Beaufort. On the mainland, while Allied conventional operations focused largely on the coastal areas around Brunei Bay, guerrilla forces consisting of Dayak tribesmen and small numbers of Allied personnel from the Services Reconnaissance Department fought an unconventional campaign in the interior. The Allies were successful in seizing control of the region. Nevertheless, many of the strategic gains that possession of North Borneo provided were ultimately negated by the sudden conclusion of the war in August 1945."
Brunei Bay1945,Brunei,4.535277,114.727669,168,Brunei Bay,1945,"['Australian', 'Borneo', 'Labuan Island', 'Beaufort', 'Brunei', 'Australians', 'Japanese']",['World War II'],Australia,Japan,,,,Land,,No,,,,"The Battle of Labuan was an engagement fought between Allied and Imperial Japanese forces on the island of Labuan off Borneo during June 1945. It formed part of the Australian invasion of North Borneo, and was initiated by the Allied forces as part of a plan to capture the Brunei Bay area and develop it into a base to support future offensives."
Brunete1937,Spain,40.4043103,-3.9993244,168,Brunete,1937,"['Spanish', 'Nationalists', 'Madrid', 'Jarama', 'Guadalajara', 'Republican']",['Civil War'],Spanish Nationalists,Spanish Republicans,,,3.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p799",,,"The Battle of Brunete (6–25 July 1937), fought 24 kilometres (15 mi) west of Madrid, was a Republican attempt to alleviate the pressure exerted by the Nationalists on the capital and on the north during the Spanish Civil War. Although initially successful, the Republicans were forced to retreat from Brunete after Nationalist counterattacks, and suffered devastating casualties from the battle."
Bruneval1942,France,49.642089,0.1632309,168,Bruneval,1942,"['British', 'German', 'Normandy']",['World War II'],United Kingdom,Germany,,,1.0,Land and Sea,,No,,,,No description available
Brunkeberg1471,Sweden,59.3384065,18.0643426,168,Brunkeberg,1471,"['Brunkeberg', 'Danish', 'Sweden', 'Christian']",Wars of the Kalmar Union,Sweden,"Denmark, Scottish Mercenaries, German Mercenaries",,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p201",,,The Battle of Brunkeberg was fought on 10 October 1471 between the Swedish regent Sten Sture the Elder and forces led by Danish king Christian I. Sture won a decisive victory.
Brusa1317,Greece,40.1061274,28.461471,,Brusa,1317,[],Byzantine-Ottoman War,Ottomans,Byzantium,,,,Land,,No,,,,No description available
Brushy Creek1839,United States,30.5114622,-97.7724666,169,Brushy Creek,1839,"['Comanche', 'Indian', 'Williamson County', 'Texas', 'Indians']",Comanche Indian Wars,Texas,Comanches,,,1.0,Land,,No,,1,,No description available
Brusilov Offensive1916,"Ukraine, Belarus, Poland",50.7775651,25.8159399,169,Brusilov Offensive,1916,"['Russian', 'German', 'Russian', 'Kovel', 'Brzezany']",['World War'],"Germany, Austria",Russia,,,5.0,Land,BRUS1916,No,"Clodfelter, Warfare and Armed Conflict, p411; Banks, Arthur, Military Atlas of the First World War, p148",,,No description available
Brusthem1467,Belgium,50.80565,5.22187,169,Brusthem,1467,"['France', 'Liege', 'Brusthem']",Franco-Burgundian Wars,Dukedom of Burgundy,Rebels of Liege,,,,Land,,No,,,,"The Battle of Brustem was fought on 28 October 1467 in Brustem, near Sint-Truiden (present-day Belgium) between the Burgundian State and the Prince-Bishopric of Liège, as part of the Second Liège War."
Bryansk1941,Russia,53.2635306,34.41611,169,Bryansk,1941,"['Moscow', 'Soviet', 'Bryansk', 'Russians', 'Moscow']",['World War II'],Germany,USSR,,,6.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p466",,,"The Battle of Bryansk (2–21 October 1941) was a twenty-day battle during World War II conducted in the Bryansk Oblast as a part of the overall Moscow campaign.  Returning from the Kiev operation, Heinz Guderian attacked in an unexpected direction capturing Bryansk and Oryol with few casualties thereby encircling two Soviet formations, the 13th Army and 3rd Army.  A third Soviet formation, the 50th Army was encircled by infantry of the German 2nd Army north of Bryansk.  However the encircled Red Army units continued fighting, delaying the drive on Moscow for two weeks.  This delay, as well as the casualties taken by the Wehrmacht liquidating the pockets contributed to the German collapse at the gates of Moscow. See also: Vyazma and Bryansk pockets. As a result of this battle, the Germans occupied Bryansk until they were expelled by the Red Army on 17 September 1943 as a part of the Smolensk campaign."
Bryn Derwyn1255,United Kingdom,53.138073,-4.2836423,169,Bryn Derwyn,1255,,War of Welsh Succession,Llewellyn ap Griffith,David and Owen the Red,,,,Land,,No,,,,No description available
Brzezany1916,Ukraine,49.4438882,24.9361397,169,Brzezany,1916,"['Russian', 'Austrian', 'Lemberg (Lvov', 'Russian']",['World War I'],Austria-Hungary,Russia,,,,Land,,No,,,,No description available
Brzezany1917,Ukraine,49.4438882,24.9361397,170,Brzezany,1917,"['Russian', 'Brzezany']",['World War I'],Germany,Russia,,,,Land,,No,,,,No description available
Bubiyan1991,Kuwait,29.7800628,48.1995591,170,Bubiyan,1991,"['Iraqi', 'az-Zubayr', 'Iraqs', 'Bubiyan', 'US', 'British', 'Saudi', 'Iraqs', 'Iranian']",['Gulf War'],"United States, United Kingdom, Saudi Arabia",Iraq,,,,Sea and Air,,No,,,,"The Battle of Bubiyan (also known as the Bubiyan Turkey Shoot) was a naval engagement of the Gulf War that occurred in the waters between Bubiyan Island and the Shatt al-Arab marshlands, where the bulk of the Iraqi Navy, which was attempting to flee to Iran, much like the Iraqi Air Force, was engaged and destroyed by Coalition warships and aircraft."
Bucharest1771,Romania,44.4267674,26.1025384,170,Bucharest,1771,"['Turks', 'Bucharest', 'Turkish', 'Rumyantsevs', 'Turks']",Catherine the Great's 1st Turkish War,Russia,Ottoman Empire,,,,Land,,Battle followed by massacre,,,,"The Battle of Bucharest, also known as the Argeş–Neajlov Defensive Operation in Romania, was the last battle of the Romanian Campaign of 1916 in World War I, in which the Central Powers' combatants, led by General Erich von Falkenhayn, occupied the Romanian capital and forced the Romanian Government, as well as the remnants of the Romanian Army to retreat to Moldavia and re-establish its capital at Iaşi."
Buck Head Creek1864,United States,32.9420218,-82.2514229,170,Buck Head Creek,1864,"['American', 'Georgia', 'Atlanta']",American Civil War,United States,Confederate States of America,,,,Land,,No,,,,"The Battle of Buckhead Creek (also spelled as Buck Head Creek) or Battle of Reynolds' Plantation was the second battle of Sherman's March to the Sea, fought November 28, 1864, during the American Civil War. Union Army cavalry under Brig. Gen. Hugh Judson Kilpatrick repulsed an attack by the small Confederate cavalry corps under Maj. Gen. Joseph Wheeler, but abandoned its attempt to destroy railroads and rescue Union prisoners of war."
Buckland Mills1863,United States,38.7804499,-77.6836738,170,Buckland Mills,1863,"['American', 'Virginia', 'Manassas', 'Kilpatrick']",American Civil War,Confederate States of America,United States,,,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p281",1,,"The Battle of Buckland Mills, also known as The Buckland Races or Chestnut Hill, was fought on October 19, 1863, between Union and Confederate forces in the American Civil War. Union cavalry led by Brig. Gen. Judson Kilpatrick were caught in a Confederate ambush and defeated."
Bucov1600,Romania,44.966667,26.083333,170,Bucov,1600,"['Mirischlau', 'Poles', 'Moldavia', 'Polish', 'Wallachia', 'Goraslau']",Balkan National Wars,Poland,Wallachia,,,,Land,,No,,,,"The  Battle of Bucov or Teleajen River (called battle of Bukowo in Polish historiography) was fought during the Moldavian Magnate Wars between the Polish–Lithuanian Commonwealth and the Principality of Wallachia, on October 20, 1600. Polish-Lithuanian forces under the command of Jan Zamoyski defeated the Wallachian forces commanded by Michael the Brave."
Buda1529,Hungary,47.4662874,19.0495823,170,Buda,1529,"['Turkish', 'Hungary', 'Mohacs', 'Ottoman Sultan', 'Vienna']",Turkish-Hungarian Wars,Ottoman Empire,Habsburg Empire,,,4.0,Land,,Battle followed by massacre,"Encyclopedia of Warfare, Showalter, 2014, p292",,,There have been several Battles of Buda in history:
Buda1540,Hungary,47.4662874,19.0495823,170,Buda,1540,"['Turkish', 'Hungary', 'Ferdinand', 'Austria']",Turkish-Habsburg Wars,Hungarian Nationalists,Habsburg Empire,,,,Land,,No,,,,There have been several Battles of Buda in history:
Buda1541,Hungary,47.4662874,19.0495823,171,Buda,1541,"['Turkish', 'Hungary', 'Ferdinand', 'Austria']",Turkish-Habsburg Wars,"Turkey, John Sigismund",Habsburg Empire,,,,Land,,No,,,,There have been several Battles of Buda in history:
Buda1684,Hungary,47.4662874,19.0495823,"Clodfelter, p58",Buda,1684,,Turkish-Habsburg War,Ottoman Empire,Hungary,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p58",,,There have been several Battles of Buda in history:
Buda1686,Hungary,47.4662874,19.0495823,171,Buda,1686,"['Turkish', 'Hungary', 'Vienna', 'Turkish']",Later Turkish-Habsburg Wars,"Habsburg Empire, Poland, Venice",Ottoman Empire,,,3.0,Land,,Battle followed by massacre,"The Field and the Forge, Landers, p393; Encyclopedia of Warfare, Showalter, 2014, p299",,,There have been several Battles of Buda in history:
Buda1849,Hungary,47.4662874,19.0495823,171,Buda,1849,"['Budapest', 'Hungarian', 'Austrian', 'Hentzi']",Hungarian Revolutionary War,Habsburg Empire,Hungarian Rebels,,,3.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p194",,,There have been several Battles of Buda in history:
Budapest1919,Hungary,47.497912,19.040235,171,Budapest,1919,"['Hungarian', 'Hungary', 'Tisza', 'Budapest', 'Vienna', 'Stalinist']",Hungarian-Romanian War,Romania,Hungary,,,,Land,,Battle followed by massacre,,,,"The siege of Budapest or battle of Budapest was the 50-day-long encirclement by Soviet and Romanian forces of the Hungarian capital of Budapest, near the end of World War II. Part of the broader Budapest Offensive, the siege began when Budapest, defended by Hungarian and German troops, was encircled on 26 December 1944 by the Red Army and the Romanian Army. During the siege, about 38,000 civilians died through starvation, military action, and mass executions of Jews by the far-right Hungarian nationalist Arrow Cross Party. The city unconditionally surrendered on 13 February 1945. It was a strategic victory for the Allies in their push towards Berlin."
Budapest1921,Hungary,47.497912,19.040235,171,Budapest,1921,"['Hungarian', 'Austrian', 'Hungary', 'Hungary']",['Civil War        '],Hungary,Habsburg Royalists,,,,Land,,No,,,,"The siege of Budapest or battle of Budapest was the 50-day-long encirclement by Soviet and Romanian forces of the Hungarian capital of Budapest, near the end of World War II. Part of the broader Budapest Offensive, the siege began when Budapest, defended by Hungarian and German troops, was encircled on 26 December 1944 by the Red Army and the Romanian Army. During the siege, about 38,000 civilians died through starvation, military action, and mass executions of Jews by the far-right Hungarian nationalist Arrow Cross Party. The city unconditionally surrendered on 13 February 1945. It was a strategic victory for the Allies in their push towards Berlin."
Budapest1944-1945,Hungary,47.497912,19.040235,171,Budapest,1944-1945,['Budapest'],['World War II'],USSR,Germany,,,6.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p466",1,,"The siege of Budapest or battle of Budapest was the 50-day-long encirclement by Soviet and Romanian forces of the Hungarian capital of Budapest, near the end of World War II. Part of the broader Budapest Offensive, the siege began when Budapest, defended by Hungarian and German troops, was encircled on 26 December 1944 by the Red Army and the Romanian Army. During the siege, about 38,000 civilians died through starvation, military action, and mass executions of Jews by the far-right Hungarian nationalist Arrow Cross Party. The city unconditionally surrendered on 13 February 1945. It was a strategic victory for the Allies in their push towards Berlin."
Bud Bagsak1913,Philippines,6.0492134,120.9784253,171,Bud Bagsak,1913,"['American', 'Muslim', 'Philippines']",American-Moro Wars,United States,Moros,,,,Land,,Battle followed by massacre,,,,"The Battle of Bud Bagsak took place during the Moro Rebellion phase of the Philippine–American War fought between June 11 and 15, 1913. The defending Moro fighters were fortified at the top of Mount Bagsak on the island of Jolo, Sulu. The attacking Americans were led by General John 'Black Jack' Pershing. The Moros were entirely annihilated, including their leader, Datu Amil.: 228–240"
Bud Dajo1906,Philippines,6.013056,121.058333,171,Bud Dajo,1906,"['Bud Dajo', 'American', 'Pangpang', 'Philippines', 'Bud Dajo', 'America']",American-Moro Wars,Massacre,,,,1.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p744",,,The Battle of Bud Dajo may refer to:
Budhayan1858,India,25.9547245,80.1377319,172,Budhayan,1858,"['Indian', 'Husain', 'Budhayan', 'Badshahganj']",Indian Mutiny,United Kingdom,Indian Rebels,,,,Land,,No,,,,No description available
"Buenavista, Mexico1847",Mexico,25.4597828,-101.1233096,172,"Buenavista, Mexico",1847,"['Mexico', 'American', 'Mexico', 'Buenavista', 'Mexico City']",American-Mexican War,United States,Mexico,,,2.0,Land,,No,"Encyclopedia of Warfare, Showalter, 2014, p647",,,No description available
Buenos Aires1806,Argentina,-34.6036844,-58.3815591,172,Buenos Aires,1806,"['Napoleonic', 'Britain', 'Spanish', 'French']",Napoleonic Wars (4th Coalition),"Spain, France",United Kingdom,,,1.0,Land and Sea,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p50; Clodfelter, Warfare and Armed Conflict, p145",,,"The Battle of Buenos Aires was a military confrontation that occurred on March 18, 1933, during the Colombia–Peru War where a group of soldiers from the Colombian Army and Air Force attacked the Peruvian post of Buenos Aires, located in the Amazon Trapeze, today part of the Colombian Department of Amazonas. The event occurred a month after the Battle of Tarapacá."
